Age,Temp,CO2,CH4,GAST_2.5,GAST,GAST_97.5,Eccentricity,Obliquity,Precession
-567,"-1,7636","253,22","623,45","-6,39","-3,43","-0,86","0,03726783371","23,64311052","41,01775208"
-566,"-1,8274","254,14","619,23","-6,48","-3,57","-0,81","0,03664551829","23,53628684","57,16222655"
-565,"-2,0745","251,64","582,94","-6,71","-3,53","-1,13","0,03589878456","23,42214352","73,43464852"
-564,"-2,6452","251,61","551,34","-6,46","-3,56","-0,89","0,0352296754","23,30280467","89,67053453"
-563,"-3,3349","245,77","531,43","-6,48","-3,6","-1,18","0,03449218887","23,18090607","105,8577721"
-562,"-4,0378","240,9","494,83","-6,27","-3,63","-1,14","0,03378626601","23,05936425","122,2435124"
-561,"-4,8514","234,51","467,24","-6,12","-3,71","-1,4","0,03302581628","22,94077865","138,570732"
-560,"-5,5495","231,62","508,47","-6,7","-3,88","-1,61","0,03225592341","22,82834446","154,8383676"
-559,"-6,8086","230,03","481,43","-7,23","-4,27","-1,78","0,03152351158","22,72503354","171,3386101"
-558,"-5,5399","232,67",443,"-7,22","-4,43","-2,12","0,03071779711","22,63348696","187,6386473"
-557,"-5,0408","239,89","509,61","-7,37","-4,36","-2,1","0,02991661059","22,55649271","204,1100819"
-556,"-4,0355","246,4","575,7","-7,25","-4,43","-2,09","0,0291290452","22,49646482","220,4402889"
-555,"-3,9268","236,23","548,39","-7,46","-4,59","-2,16","0,02831819569","22,45490299","236,8413463"
-554,"-4,9393","225,73",502,"-7,39","-4,75","-2,19","0,02744605409","22,43366422","253,2387401"
-553,"-6,2364","223,64","451,03","-7,66","-4,77","-2,08","0,02664902857","22,43356133","269,4258681"
-552,"-6,8099","221,96","483,21","-7,94","-4,94","-2,24","0,02577077536","22,45473898","285,7107183"
-551,"-5,9543","222,15","476,39","-7,68","-4,96","-2,39","0,02491805411","22,49730555","301,9181363"
-550,"-5,8947","220,28","466,29","-7,94","-5,04","-2,55","0,02403043137","22,56038904","317,8200453"
-549,"-7,0661","215,55","445,11","-8,22","-5,14","-2,52","0,02317777328","22,64236688","333,8039739"
-548,"-6,9865","213,65","410,44","-8,28","-5,13","-2,6","0,02229070503","22,74171511","349,5954954"
-547,"-7,42","202,53","401,57","-7,84","-5,04","-2,72","0,02139234117","22,85585393","5,066766093"
-546,"-8,1344","204,51","413,89","-8,16","-4,94","-1,95","0,02051932242","22,98170077","20,51833759"
-545,"-8,126","208,83","421,67",-8,-5,"-2,25","0,01967612227","23,11635263","35,62993812"
-544,"-7,5674","209,63","420,38","-8,07","-5,11","-2,47","0,01874011401","23,25614435","50,57194581"
-543,"-7,2467",210,"405,47","-8,17","-5,11","-2,38","0,01794666487","23,39719612","65,15875423"
-542,"-7,2156","209,35","407,95","-8,55","-5,16","-2,62","0,01711035973","23,53624867","79,47467546"
-541,"-7,4677","206,8","393,93","-8,22","-5,13","-2,39","0,01629235651","23,66963553","93,52787603"
-540,"-7,4614","203,78","397,09","-8,38","-4,99","-2,16","0,0155551916","23,79395217","107,1196143"
-539,"-7,6953","204,95","413,57","-7,86","-4,74","-2,19","0,01484742087","23,90657661","120,1917558"
